label,Index,nr_pix,rows_with_1,cols_with_1,rows_with_2,cols_with_2,rows_with_3p,cols_with_3p,height,width,aspect_ratio,maxrow,maxcol,connected_areas,eyes,hollowness,custom
banana,01,63,0,0,16,5,10,13,25,17,0.68,4,9,1,2,1.1428571428571428,0.0
banana,02,53,0,1,14,5,8,10,21,15,0.7142857142857143,4,12,1,3,0.9622641509433962,0.0
banana,03,55,0,1,12,5,9,10,20,15,0.75,5,8,1,3,0.7454545454545455,0.0
banana,04,57,0,0,12,6,9,11,20,16,0.8,6,8,1,2,0.7894736842105263,0.0
banana,05,55,1,0,12,7,9,8,21,14,0.6666666666666666,5,10,1,2,0.6363636363636364,0.0
banana,06,86,0,0,9,1,19,19,27,19,0.7037037037037037,6,13,1,2,1.0930232558139534,0.0
banana,07,62,0,0,15,1,10,12,24,12,0.5,4,9,1,2,0.7419354838709677,0.0
banana,08,64,0,0,11,1,13,15,23,15,0.6521739130434783,4,8,1,3,0.765625,0.0
banana,09,61,0,0,11,2,12,14,22,15,0.6818181818181818,4,6,1,4,0.639344262295082,0.0
banana,10,59,0,0,12,1,10,13,21,13,0.6190476190476191,4,7,1,2,0.7288135593220338,0.0
banana,11,60,1,1,15,2,9,13,24,15,0.625,4,10,1,3,0.7666666666666667,0.0
banana,12,57,0,0,14,0,9,14,22,13,0.5909090909090909,4,7,1,3,1.0526315789473684,0.0
banana,13,58,1,0,11,0,11,14,22,13,0.5909090909090909,4,10,1,2,0.7586206896551724,0.0
banana,14,59,0,0,9,0,12,14,20,13,0.65,4,7,1,2,0.5932203389830508,0.0
cherry,01,64,5,0,11,9,8,12,23,20,0.8695652173913043,8,6,1,1,3.96875,0.015625
cherry,02,75,2,2,12,8,10,12,23,21,0.9130434782608695,8,10,1,1,3.1466666666666665,0.0
cherry,03,83,0,1,7,9,16,13,22,22,1.0,10,8,1,1,3.4698795180722892,0.012048192771084338
cherry,04,80,3,0,9,8,14,14,25,21,0.84,7,10,1,1,3.525,0.0125
